"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.04811,-34.94734,-97.6557142857143,-90.6528571428571,-103.97,-97.46,-96.9,-101.192857142857,-105.435,-101.744,-96.92,3,3,6,9347
-8.05335,-34.95969,-89.4242857142857,-98.2457142857143,-85.8342857142857,-100.931666666667,-98.2575,-90.6057142857143,-81.955,-93.052,-69.91,6,7,1,7753
-8.05853,-34.94956,-92.1042857142857,-95.55,-91.8728571428571,-96.4233333333333,-83.725,-96.5,-93.3233333333333,-76.22,-96.2325,7,4,4,6692
-8.05661,-34.95521,-95.2757142857143,-99.0514285714286,-92.62,-98.32,-91.8025,-90.8414285714286,-83.9966666666667,-68.106,-87.7225,6,5,1,6781
-8.04918,-34.94717,-92.41,-86.5685714285714,-97.1,-84.58,-96.4925,-95.2942857142857,-90.94,-96.518,-96.3575,4,2,6,9002
-8.05558,-34.95464,-93.15,-96.2,-94.0657142857143,-94.625,-92.7275,-90.6785714285714,-74.105,-73.56,-95.745,6,5,2,7057
-8.05173,-34.94884,-89.4871428571429,-91.34,-90.2657142857143,-74.59,-87.5675,-85.53,-92.7516666666667,-94.252,-97.6,4,2,5,8308
-8.05427,-34.95411,-89.2942857142857,-96.6671428571429,-90.6671428571429,-95.6,-89.27,-90.1871428571428,-97.65,-84.132,-96.55,5,4,2,7560
-8.0545,-34.95601,-92.8761904761905,-98.7371428571429,-82.2,-101.6425,-101.5175,-95.78,-81.62,-87.92,-89.33,6,5,1,7478
-8.04842,-34.95244,-73.44,-84.63,-75.13,-82.13,-89.77,-87.9557142857143,-88.125,-98.012,-96.7175,2,4,4,9259
-8.05563,-34.95473,-93.6257142857143,-97.3557142857143,-95.1328571428571,-95.0083333333333,-93.81,-90.6342857142857,-74.105,-72.948,-93.44,6,5,2,7012
-8.0505,-34.95315,-84.69,-95.3314285714286,-88.76,-92.01,-95.135,-91.7,-91.6633333333333,-95.39,-98.2875,3,4,3,8692
-8.0513,-34.95874,-83.9357142857143,-95.0071428571429,-84.6371428571428,-99.26,-96.0175,-91.0714285714286,-90.1316666666667,-98.266,-78.38,5,7,2,8478
-8.05187,-34.94806,-91.5714285714286,-93.5542857142857,-89.4942857142857,-66.94,-72.01,-76.3114285714286,-90.3266666666667,-96.61,-97.6,4,2,5,8228
-8.05603,-34.95504,-94.52,-97.7914285714286,-93.75,-97.7016666666667,-90.86,-89.5542857142857,-83.0883333333333,-68.63,-93.5575,6,5,1,6897
-8.05447,-34.95605,-92.8761904761905,-98.7371428571429,-91.64,-101.7375,-101.5175,-95.78,-81.81,-88,-94.84,6,5,1,7487
-8.05057,-34.95331,-79.51,-94.8242857142857,-79.32,-91.02,-94.71,-93.2114285714286,-90.965,-95.39,-98.2875,3,4,3,8658
-8.05065,-34.95052,-97.59,-95.2414285714286,-93.3614285714286,-88.26,-93.7925,-88.0985714285714,-90.81,-94.976,-98.7325,3,3,4,8635
-8.05216,-34.94802,-86.2271428571429,-88.03,-87.8857142857143,-54.09,-77.9275,-69.41,-90.57,-90.792,-97.6,5,2,5,8042
-8.05284,-34.95558,-89.33,-96.3728571428572,-91.64,-99.8283333333333,-96.1425,-94.3771428571429,-60.47,-89,-86.77,5,5,2,7838
-8.05206,-34.95533,-84.7142857142857,-97.5771428571428,-85.65,-96.04,-94.1125,-95.98,-68.8766666666667,-87.162,-94.815,4,5,2,8094
-8.05526,-34.95155,-91.7171428571429,-93.55,-97.03,-95.02,-84.895,-90.33,-90.2183333333333,-78.122,-95.78,6,3,3,7298
-8.05445,-34.9594,-81.7657142857143,-99.4914285714286,-82.1671428571428,-95.72,-100.225,-87.0714285714286,-74.0433333333333,-88.24,-61.29,6,7,1,7497
-8.04858,-34.95849,-86.58,-92.3842857142857,-96.4,-96.4233333333333,-93.985,-95.1042857142857,-85.1183333333333,-106.544,-89.77,4,7,3,9156
-8.04643,-34.9512,-81.6875,-81.83,-81.134619047619,-95.4,-96.4925,-102.13,-90.1566666666667,-100.98,-94.4075,1,4,5,9644
-8.05561,-34.95424,-90.0257142857143,-96.2,-92.1485714285714,-97.6533333333333,-90.21,-93.4757142857143,-78.6366666666667,-68.34,-95.79,6,5,2,7036
-8.05186,-34.94796,-91.5714285714286,-97.8,-89.29,-53.72,-75.97,-79.1814285714286,-90.3266666666667,-97.646,-97.6,4,2,5,8238
-8.05207,-34.9499,-86.45,-93.8714285714286,-93.3214285714286,-72.19,-94.08,-85.45,-92.5833333333333,-95.754,-95.2225,4,2,4,8090
-8.05556,-34.95469,-92.6928571428572,-96.03,-89.46,-94.6533333333333,-92.7275,-90.6785714285714,-74.105,-69.134,-93.78,6,5,2,7083
-8.0504,-34.95048,-96.5385714285714,-95.1157142857143,-95.4642857142857,-87.01,-99.6,-93.0528571428571,-93.315,-95.348,-98.7325,3,3,4,8735
-8.05036,-34.95375,-84.1114285714286,-95.6792857142857,-85.7114285714286,-100.36,-101.69,-96.9014285714286,-86.5791666666667,-98.048,-99.62,3,4,3,8746
-8.05331,-34.9489,-86.03,-89.5485714285714,-90.1228571428571,-70.83,-79.21,-81.3942857142857,-88.625,-91.602,-97.255,5,2,4,7759
-8.04676,-34.9506,-89.15,-74.32,-76.32,-93.3786904761905,-95.15,-89.7132142857143,-90,-99.034,-94.4075,2,4,5,9552
-8.05177,-34.94866,-90.64,-90.84,-92.2071428571428,-77.34,-92.2775,-91.91,-91.58,-92.182,-97.6,4,2,5,8289
-8.0558,-34.95873,-88.7314285714286,-99.5742857142857,-88.4,-95.8766666666667,-99.065,-95.4,-87.24,-85.38,-63.02,7,7,0,6948
-8.05101,-34.95951,-79.41,-95.0071428571429,-85.03,-99.26,-94.9675,-93.29,-90.1316666666667,-102.204,-79.66,5,7,2,8563
-8.04827,-34.95906,-81.936,-90.5971428571429,-75.76,-96.4233333333333,-96.675625,-90.2,-84.17,-106.544,-87.77,4,7,3,9292
-8.05835,-34.95017,-92.9942857142857,-93.2814285714286,-93.5628571428571,-97.5,-76.4875,-83.0957142857143,-94.0333333333333,-82.648,-96.2325,7,4,4,6707
-8.05335,-34.9557,-87.87,-96.3785714285714,-88.5442857142857,-102.7,-100.04,-98.86,-63.7933333333333,-82.73,-89.97,5,5,1,7754
-8.05556,-34.95377,-87.9,-96.38,-88.83,-97.1683333333333,-90.53,-94.02,-76.0333333333333,-74.214,-90.945,6,4,2,7086
-8.05097,-34.95319,-91.39,-95.13,-85.77,-80.82,-85.9,-92.5371428571428,-92.66,-95.38,-97.62,4,4,3,8572
-8.04807,-34.94756,-103.01,-82.2914285714286,-95.2635714285714,-91.64,-97.685,-100.962857142857,-106.07,-102.064,-94.4075,3,3,6,9363
-8.05573,-34.95062,-90.7714285714286,-92.2114285714286,-91.6666666666667,-87.78,-83.575,-83.4385714285714,-90.9416666666667,-89.82,-96.3725,6,3,3,6967
-8.05567,-34.95495,-94.1357142857143,-97.1028571428571,-94.32,-95.065,-92.6075,-91.4114285714286,-79.755,-74.244,-93.925,6,5,1,6987
-8.04818,-34.95914,-79.3131428571429,-90.5971428571429,-77.39,-96.4233333333333,-98.91,-95.7967857142857,-84.17,-106.544,-84.27,4,7,3,9311
-8.052,-34.95702,-88.1528571428571,-97.5871428571429,-90.05,-100.38,-98.52,-93.4214285714286,-67.8783333333333,-95.63,-85.66,5,6,2,8125
-8.05368,-34.95962,-85.0685714285714,-99.6357142857143,-86.4314285714286,-94.4983333333333,-100.8325,-89.17,-78.955,-90.732,-58.41,6,7,1,7675
-8.05564,-34.95075,-90.62,-92.1485714285714,-91.6666666666667,-84.33,-79.71,-78.4171428571428,-90.065,-87.02,-96.3725,6,3,3,7010
-8.05443,-34.95622,-92.8761904761905,-98.7371428571429,-89.9028571428571,-101.7375,-101.5175,-97.97,-84.56,-81.3505714285714,-93.09,6,5,1,7512
-8.05195,-34.94768,-94.16,-93.72,-90.7971428571429,-55.83,-76.45,-78.2128571428571,-90.9566666666667,-98.048,-97.6,5,1,5,8171
